filename,ps,ds,dms,cycle
000001.csv,64,62,10,6
000002.csv,90,62,9,6
000003.csv,62,64,8,3
000004.csv,72,20,9,3
000005.csv,50,68,5,5
000006.csv,58,76,6,2
000007.csv,88,64,7,4
000008.csv,72,98,8,2
000009.csv,70,44,9,2
000010.csv,56,80,7,3
000011.csv,74,6,6,4
000012.csv,44,26,6,4
000013.csv,54,66,8,4
000014.csv,96,10,6,3
000015.csv,90,26,9,2
000016.csv,86,96,5,5
000017.csv,56,72,7,4
000018.csv,94,14,10,2
000019.csv,72,70,9,3
000020.csv,58,72,5,6
000021.csv,72,80,6,1
000022.csv,84,74,9,5
000023.csv,74,30,5,4
000024.csv,42,18,9,5
000025.csv,58,32,9,1
000026.csv,46,94,7,1
000027.csv,76,46,8,6
000028.csv,60,90,9,3
000029.csv,88,94,9,6
000030.csv,98,56,9,5
000031.csv,84,16,6,3
000032.csv,66,94,9,3
000033.csv,68,78,5,4
000034.csv,96,56,8,4
000035.csv,42,92,8,2
000036.csv,72,86,7,4
000037.csv,64,60,7,2
000038.csv,50,32,10,6
000039.csv,58,84,7,4
000040.csv,74,64,8,3
000041.csv,88,8,6,4
000042.csv,100,10,5,4
000043.csv,84,48,9,5
000044.csv,70,90,8,6
000045.csv,50,8,8,4
000046.csv,88,28,7,3
000047.csv,50,76,8,2
000048.csv,60,20,9,2
000049.csv,70,80,7,2
000050.csv,82,80,9,1
000051.csv,70,36,7,6
000052.csv,46,18,9,6
000053.csv,76,46,8,1
000054.csv,70,48,5,2
000055.csv,84,66,9,1
000056.csv,64,88,6,1
000057.csv,52,86,5,4
000058.csv,52,96,6,5
000059.csv,64,52,6,4
000060.csv,100,42,6,4
000061.csv,52,38,7,5
000062.csv,52,80,10,5
000063.csv,78,18,10,5
000064.csv,76,0,6,2
000065.csv,54,84,7,2
000066.csv,52,26,8,4
000067.csv,64,36,7,3
000068.csv,68,68,6,1
000069.csv,50,78,8,4
000070.csv,100,18,10,5
000071.csv,82,24,6,2
000072.csv,88,6,8,6
000073.csv,100,10,5,1
000074.csv,90,48,6,6
000075.csv,86,54,9,1
000076.csv,70,26,8,6
000077.csv,74,68,7,5
000078.csv,54,2,7,3
000079.csv,78,98,7,3
000080.csv,92,84,8,4
000081.csv,88,98,7,3
000082.csv,74,82,10,1
000083.csv,62,38,5,1
000084.csv,92,50,9,5
000085.csv,76,64,10,1
000086.csv,42,38,8,6
000087.csv,86,42,6,2
000088.csv,46,60,7,4
000089.csv,40,88,5,3
000090.csv,42,44,7,3
000091.csv,54,18,10,4
000092.csv,96,98,8,6
000093.csv,88,30,7,4
000094.csv,96,62,10,6
000095.csv,60,86,5,4
000096.csv,54,34,6,4
000097.csv,88,54,9,5
000098.csv,72,58,9,5
000099.csv,54,28,6,6
000100.csv,96,92,10,5
000101.csv,42,14,9,4
000102.csv,84,70,10,1
000103.csv,42,44,6,6
000104.csv,60,86,8,4
000105.csv,70,64,6,2
000106.csv,92,76,7,6
000107.csv,84,20,9,1
000108.csv,82,54,5,4
000109.csv,46,46,7,4
000110.csv,94,12,7,3
000111.csv,42,78,5,2
