filename,ps,ds,dms,cycle
000001.csv,71,90,6,5
000002.csv,83,22,5,5
000003.csv,70,67,6,3
000004.csv,76,81,5,2
000005.csv,52,29,6,2
000006.csv,50,16,10,4
000007.csv,74,55,8,5
000008.csv,51,15,7,5
000009.csv,87,38,5,5
000010.csv,83,46,9,6
000011.csv,43,67,5,2
000012.csv,98,15,9,2
000013.csv,58,36,9,4
000014.csv,46,64,6,5
000015.csv,74,13,8,1
000016.csv,43,56,7,4
000017.csv,56,60,10,4
000018.csv,46,12,9,3
000019.csv,93,68,8,5
000020.csv,62,1,5,4
000021.csv,82,22,6,6
000022.csv,91,77,5,1
000023.csv,45,36,9,6
000024.csv,43,74,6,2
000025.csv,68,22,5,1
000026.csv,64,65,7,1
000027.csv,78,35,5,3
000028.csv,100,49,10,3
000029.csv,66,81,8,4
000030.csv,54,96,9,5
000031.csv,59,64,6,3
000032.csv,77,43,10,6
000033.csv,63,95,6,2
000034.csv,76,4,9,3
000035.csv,45,8,8,3
000036.csv,55,68,7,2
000037.csv,75,4,7,6
000038.csv,54,19,7,6
000039.csv,61,90,6,4
000040.csv,55,38,5,1
000041.csv,93,81,10,1
000042.csv,79,93,8,2
000043.csv,95,100,10,5
000044.csv,71,1,5,2
000045.csv,87,76,9,3
000046.csv,60,57,10,6
000047.csv,65,17,8,2
000048.csv,69,91,10,1
000049.csv,81,0,6,1
000050.csv,84,18,10,6
000051.csv,82,39,7,3
000052.csv,68,11,7,6
000053.csv,59,76,9,5
000054.csv,98,11,5,2
000055.csv,94,57,9,3
000056.csv,51,48,8,4
000057.csv,40,17,7,5
000058.csv,44,25,6,5
000059.csv,73,40,6,2
000060.csv,90,76,6,5
000061.csv,72,77,10,3
000062.csv,78,19,8,3
000063.csv,80,3,9,6
000064.csv,56,5,10,2
000065.csv,82,23,9,3
000066.csv,65,11,10,6
000067.csv,59,21,8,5
000068.csv,73,64,9,2
000069.csv,64,13,6,1
000070.csv,70,27,5,4
000071.csv,62,30,9,6
000072.csv,55,23,9,5
000073.csv,41,73,5,1
000074.csv,75,50,5,6
000075.csv,98,66,5,5
000076.csv,43,31,7,3
000077.csv,64,48,6,6
000078.csv,42,36,8,3
000079.csv,53,54,7,6
000080.csv,41,93,9,5
000081.csv,54,84,10,5
000082.csv,45,17,10,6
000083.csv,43,83,10,3
000084.csv,71,46,7,2
000085.csv,63,2,7,4
000086.csv,94,50,9,6
000087.csv,69,72,7,5
000088.csv,88,14,7,2
000089.csv,74,66,9,1
000090.csv,55,89,10,1
000091.csv,90,59,10,2
000092.csv,87,93,10,4
000093.csv,84,97,7,3
000094.csv,49,71,7,6
000095.csv,50,58,9,6
000096.csv,51,47,7,1
000097.csv,58,50,9,5
000098.csv,52,22,6,3
000099.csv,84,26,8,2
000100.csv,69,57,8,5
000101.csv,55,34,5,2
000102.csv,82,75,10,1
000103.csv,59,59,10,3
000104.csv,89,95,5,4
000105.csv,50,68,5,6
000106.csv,70,29,10,6
000107.csv,87,61,6,6
000108.csv,54,37,5,6
000109.csv,73,49,6,5
000110.csv,62,25,5,6
000111.csv,85,49,6,5
000112.csv,74,13,6,4
000113.csv,62,90,6,2
000114.csv,75,26,7,3
000115.csv,74,97,6,2
000116.csv,93,87,5,2
000117.csv,87,42,5,1
000118.csv,42,42,10,2
000119.csv,62,81,5,2
000120.csv,78,9,10,2
000121.csv,87,57,6,2
000122.csv,47,67,7,2
000123.csv,77,10,6,4
000124.csv,98,48,5,6
000125.csv,98,59,5,2
000126.csv,100,41,10,6
000127.csv,81,63,8,3
000128.csv,96,62,5,4
000129.csv,43,22,10,1
000130.csv,43,63,6,5
000131.csv,88,71,9,6
000132.csv,84,31,9,6
000133.csv,61,15,9,2
000134.csv,59,87,5,4
000135.csv,77,67,8,1
000136.csv,67,96,6,1
000137.csv,69,56,8,4
000138.csv,73,77,10,5
000139.csv,63,49,6,1
000140.csv,100,22,7,3
000141.csv,79,70,7,2
000142.csv,69,23,6,2
000143.csv,89,72,6,5
000144.csv,51,18,7,3
000145.csv,97,79,10,2
000146.csv,59,76,7,6
000147.csv,90,66,5,6
000148.csv,54,25,7,1
000149.csv,80,22,7,2
000150.csv,46,41,7,6
000151.csv,60,5,7,3
000152.csv,69,91,5,6
000153.csv,73,6,5,3
000154.csv,76,18,6,5
000155.csv,80,55,6,5
000156.csv,75,42,9,5
000157.csv,74,91,10,3
000158.csv,49,83,6,2
000159.csv,65,82,5,3
000160.csv,91,55,5,6
000161.csv,80,33,8,1
000162.csv,78,61,7,5
000163.csv,96,38,6,6
000164.csv,50,36,7,1
000165.csv,47,6,9,6
000166.csv,83,29,10,3
000167.csv,96,39,6,2
000168.csv,70,83,5,1
000169.csv,69,17,6,6
000170.csv,100,81,10,1
000171.csv,67,25,5,3
000172.csv,52,50,8,2
000173.csv,74,20,10,5
000174.csv,94,90,6,1
000175.csv,82,90,10,4
000176.csv,96,72,9,2
000177.csv,96,59,9,5
000178.csv,70,15,9,1
000179.csv,70,78,7,2
000180.csv,50,59,9,5
000181.csv,74,67,6,1
000182.csv,50,70,10,6
000183.csv,82,83,6,2
000184.csv,96,57,8,5
000185.csv,80,90,9,4
000186.csv,54,9,8,6
000187.csv,89,75,7,4
000188.csv,88,30,10,6
000189.csv,93,89,6,5
000190.csv,99,58,8,6
000191.csv,79,83,10,3
000192.csv,48,21,7,4
000193.csv,84,27,10,6
000194.csv,42,45,7,6
000195.csv,72,77,6,4
000196.csv,44,68,5,3
000197.csv,87,69,8,6
000198.csv,42,88,5,2
000199.csv,72,86,6,1
000200.csv,58,23,9,1
000201.csv,90,7,8,5
000202.csv,44,49,8,3
000203.csv,89,67,9,4
000204.csv,50,22,5,4
000205.csv,83,88,10,1
000206.csv,87,59,8,1
000207.csv,41,84,7,5
000208.csv,74,28,6,1
000209.csv,89,91,6,3
000210.csv,79,45,5,6
000211.csv,67,86,10,1
000212.csv,98,36,5,6
000213.csv,60,45,8,6
000214.csv,77,32,5,5
000215.csv,95,45,9,3
000216.csv,94,6,8,1
000217.csv,100,10,7,4
000218.csv,63,17,7,2
000219.csv,47,73,7,1
000220.csv,54,16,6,2
000221.csv,49,38,8,1
000222.csv,45,73,10,6
000223.csv,46,68,10,6
000224.csv,61,76,7,5
000225.csv,100,49,9,5
000226.csv,78,51,6,6
000227.csv,82,34,6,3
000228.csv,96,40,5,4
000229.csv,71,79,7,6
000230.csv,74,62,9,3
000231.csv,63,7,8,4
000232.csv,54,21,5,1
000233.csv,47,50,10,3
000234.csv,82,88,6,1
000235.csv,68,97,6,1
000236.csv,93,59,6,3
000237.csv,100,22,7,6
000238.csv,52,28,10,3
000239.csv,87,57,5,1
000240.csv,48,65,9,1
000241.csv,58,48,9,3
000242.csv,92,86,8,1
000243.csv,98,70,8,6
000244.csv,74,36,9,1
000245.csv,89,99,5,6
000246.csv,46,66,5,5
000247.csv,53,94,5,2
000248.csv,42,71,9,3
000249.csv,56,63,5,4
000250.csv,73,39,10,6
000251.csv,56,27,6,2
000252.csv,73,92,6,4
000253.csv,76,70,8,1
000254.csv,79,43,10,4
000255.csv,56,87,7,3
000256.csv,79,56,6,4
000257.csv,97,29,10,2
000258.csv,67,71,5,4
000259.csv,43,61,8,4
000260.csv,57,8,9,6
000261.csv,97,80,10,5
000262.csv,79,47,7,5
000263.csv,85,76,8,2
000264.csv,76,59,8,2
000265.csv,95,9,10,5
000266.csv,79,98,6,4
000267.csv,71,21,8,6
000268.csv,43,9,5,5
000269.csv,81,57,5,4
000270.csv,48,4,10,5
000271.csv,52,55,8,4
000272.csv,89,57,8,5
000273.csv,68,100,9,6
000274.csv,41,44,8,1
000275.csv,42,18,7,3
000276.csv,45,95,8,5
000277.csv,94,60,6,5
000278.csv,90,47,5,5
000279.csv,98,38,7,1
000280.csv,68,73,7,1
000281.csv,97,68,8,4
000282.csv,53,85,5,2
000283.csv,48,86,9,2
000284.csv,78,88,6,3
000285.csv,89,10,10,5
000286.csv,93,46,9,6
000287.csv,94,2,8,1
000288.csv,96,59,8,1
000289.csv,48,9,10,3
000290.csv,88,39,5,1
000291.csv,56,40,7,6
000292.csv,89,60,5,1
000293.csv,42,61,7,6
000294.csv,65,11,7,1
000295.csv,78,38,10,3
000296.csv,42,41,8,4
000297.csv,44,37,5,4
000298.csv,97,74,9,3
000299.csv,72,70,7,5
000300.csv,67,89,10,6
000301.csv,95,55,8,2
000302.csv,60,98,5,6
000303.csv,52,2,10,5
000304.csv,68,49,7,1
000305.csv,75,39,8,4
000306.csv,89,89,6,5
000307.csv,46,25,7,5
000308.csv,53,84,6,2
000309.csv,66,28,10,2
000310.csv,51,74,8,3
000311.csv,77,99,7,3
000312.csv,42,28,8,4
000313.csv,57,31,8,2
000314.csv,49,75,8,2
000315.csv,67,80,8,1
000316.csv,48,60,5,1
000317.csv,59,91,10,1
000318.csv,74,54,10,4
000319.csv,81,2,5,1
000320.csv,70,63,10,6
000321.csv,59,32,5,1
000322.csv,76,63,6,5
000323.csv,83,93,9,6
000324.csv,86,37,10,5
000325.csv,77,14,6,1
000326.csv,96,10,8,6
000327.csv,46,83,9,3
000328.csv,54,31,5,2
000329.csv,60,32,10,3
000330.csv,42,93,5,1
000331.csv,88,41,6,3
000332.csv,77,48,5,3
000333.csv,51,64,9,2
000334.csv,52,95,5,5
000335.csv,76,10,7,3
000336.csv,76,59,7,5
000337.csv,45,48,5,3
000338.csv,90,72,9,6
