filename,ps,ds,dms,cycle
000001.csv,50,51,6,5
000002.csv,84,63,8,4
000003.csv,82,51,5,3
000004.csv,88,54,8,3
000005.csv,76,75,8,4
000006.csv,70,93,6,3
000007.csv,92,3,6,6
000008.csv,42,81,7,2
000009.csv,82,33,6,2
000010.csv,72,72,5,2
000011.csv,66,84,10,5
000012.csv,94,21,7,5
000013.csv,70,33,10,2
000014.csv,94,9,10,2
000015.csv,100,78,5,2
000016.csv,82,15,6,6
000017.csv,90,60,6,5
000018.csv,48,99,5,1
000019.csv,88,93,10,4
000020.csv,86,36,10,1
000021.csv,52,18,7,3
000022.csv,88,75,6,3
000023.csv,84,39,8,3
000024.csv,44,78,5,2
000025.csv,94,63,6,2
000026.csv,72,90,8,6
000027.csv,74,75,9,3
000028.csv,90,57,7,3
000029.csv,52,24,10,5
000030.csv,52,90,8,1
000031.csv,58,36,5,6
000032.csv,92,87,9,1
000033.csv,92,66,9,4
000034.csv,58,3,9,3
000035.csv,98,66,7,1
000036.csv,88,21,10,6
000037.csv,78,69,6,4
000038.csv,70,33,10,5
000039.csv,100,18,7,5
000040.csv,70,75,7,4
000041.csv,98,3,9,2
000042.csv,98,57,9,4
000043.csv,100,12,8,2
000044.csv,44,51,10,5
000045.csv,64,60,8,4
000046.csv,66,87,6,6
000047.csv,42,54,5,2
000048.csv,62,84,7,2
000049.csv,88,90,10,3
000050.csv,58,9,6,6
000051.csv,52,99,7,2
000052.csv,90,48,7,4
000053.csv,84,90,7,6
000054.csv,94,84,8,4
000055.csv,70,27,8,5
000056.csv,74,75,10,2
000057.csv,54,39,5,6
000058.csv,92,39,9,2
000059.csv,46,57,7,4
000060.csv,44,81,5,1
000061.csv,96,30,10,5
000062.csv,60,75,10,6
000063.csv,84,18,10,3
000064.csv,44,30,5,2
000065.csv,98,39,8,5
000066.csv,66,24,6,5
000067.csv,62,0,8,1
000068.csv,64,24,6,4
000069.csv,82,63,5,5
000070.csv,84,42,5,5
000071.csv,44,42,5,2
000072.csv,82,66,6,2
000073.csv,50,84,5,6
000074.csv,90,18,6,5
000075.csv,86,90,5,6
000076.csv,52,72,6,4
000077.csv,82,6,7,6
000078.csv,72,33,5,3
000079.csv,78,39,6,5
000080.csv,94,90,8,3
000081.csv,72,0,8,4
000082.csv,90,21,8,2
000083.csv,96,81,7,4
000084.csv,92,42,9,2
000085.csv,88,75,10,6
000086.csv,44,63,9,5
000087.csv,66,69,7,1
000088.csv,64,75,8,5
000089.csv,78,21,9,3
000090.csv,52,99,7,5
000091.csv,52,21,6,6
000092.csv,94,33,8,6
000093.csv,60,96,8,5
000094.csv,54,93,9,4
000095.csv,56,42,7,5
000096.csv,98,27,10,4
000097.csv,88,96,10,1
000098.csv,46,90,5,4
000099.csv,60,81,6,4
000100.csv,50,63,10,4
000101.csv,40,96,8,1
000102.csv,76,12,10,6
000103.csv,62,57,10,6
000104.csv,42,21,10,4
000105.csv,74,21,9,1
000106.csv,96,0,9,6
000107.csv,46,36,5,2
000108.csv,92,12,6,3
000109.csv,98,36,5,2
000110.csv,84,51,9,3
000111.csv,42,96,7,5
000112.csv,60,63,9,1
000113.csv,100,12,5,4
000114.csv,76,21,5,4
000115.csv,84,84,5,5
000116.csv,58,36,6,4
000117.csv,40,75,7,3
000118.csv,82,63,9,4
000119.csv,50,84,6,6
000120.csv,90,12,10,1
000121.csv,64,51,7,1
000122.csv,56,75,10,4
000123.csv,66,36,10,5
000124.csv,92,0,7,3
000125.csv,76,84,9,5
000126.csv,42,15,8,6
000127.csv,80,66,5,4
000128.csv,72,27,7,6
000129.csv,72,15,6,2
000130.csv,96,33,8,6
000131.csv,80,3,5,1
000132.csv,62,0,10,3
000133.csv,72,51,7,2
000134.csv,46,21,8,1
000135.csv,82,6,7,2
000136.csv,48,24,10,5
000137.csv,74,63,8,6
000138.csv,50,69,9,3
000139.csv,54,99,9,2
000140.csv,54,66,5,2
000141.csv,52,12,6,4
000142.csv,80,78,7,6
000143.csv,56,36,8,3
000144.csv,50,87,5,4
000145.csv,54,39,7,3
000146.csv,62,90,7,1
000147.csv,50,36,8,6
000148.csv,70,24,5,3
000149.csv,72,3,9,6
000150.csv,94,36,10,1
000151.csv,44,18,10,3
000152.csv,88,96,10,5
000153.csv,58,27,8,1
000154.csv,86,63,6,1
000155.csv,66,66,7,3
000156.csv,96,57,9,1
000157.csv,80,12,8,6
000158.csv,62,15,8,5
000159.csv,56,69,10,5
000160.csv,72,3,7,6
000161.csv,94,12,5,4
000162.csv,72,24,5,6
000163.csv,84,60,10,5
000164.csv,46,93,6,5
000165.csv,50,42,9,6
000166.csv,92,66,9,3
000167.csv,62,27,7,6
000168.csv,66,24,5,3
000169.csv,48,51,8,3
000170.csv,90,6,8,2
000171.csv,72,93,6,2
000172.csv,100,51,6,5
000173.csv,90,24,5,6
000174.csv,40,48,5,6
000175.csv,72,69,6,6
000176.csv,48,96,7,2
000177.csv,48,84,6,6
000178.csv,50,18,9,4
000179.csv,60,48,6,5
000180.csv,94,78,7,1
000181.csv,68,96,9,4
000182.csv,84,66,8,5
000183.csv,58,33,5,5
000184.csv,100,30,9,2
000185.csv,82,57,5,3
000186.csv,60,12,6,6
000187.csv,100,12,7,3
000188.csv,42,27,9,1
000189.csv,66,9,7,3
000190.csv,76,3,10,4
000191.csv,76,24,10,5
000192.csv,42,57,5,4
000193.csv,42,21,8,1
000194.csv,78,24,9,3
000195.csv,50,60,5,4
000196.csv,52,9,7,2
000197.csv,62,72,5,5
000198.csv,60,27,8,6
000199.csv,48,21,7,2
000200.csv,86,57,9,5
000201.csv,94,78,10,2
000202.csv,54,45,10,1
000203.csv,80,90,10,6
000204.csv,74,24,10,5
000205.csv,74,21,7,4
000206.csv,42,30,10,3
000207.csv,44,27,9,1
000208.csv,86,81,5,4
000209.csv,56,75,9,1
000210.csv,96,75,6,1
000211.csv,58,3,9,6
000212.csv,46,12,10,2
000213.csv,68,0,10,2
000214.csv,70,33,5,2
000215.csv,42,18,10,1
