filename,ps,ds,dms,cycle
000001.csv,84,52,10,1
000002.csv,52,56,7,1
000003.csv,56,96,10,1
000004.csv,90,100,6,2
000005.csv,70,12,9,5
000006.csv,52,20,6,4
000007.csv,94,64,9,1
000008.csv,70,28,8,2
000009.csv,88,72,7,3
000010.csv,54,88,6,1
000011.csv,40,68,9,5
000012.csv,92,32,10,1
000013.csv,50,48,10,3
000014.csv,56,4,10,6
000015.csv,92,88,5,1
000016.csv,62,76,8,5
000017.csv,40,60,10,3
000018.csv,48,72,9,2
000019.csv,96,0,9,3
000020.csv,100,92,8,4
000021.csv,84,84,7,5
000022.csv,78,72,9,6
000023.csv,54,8,10,1
000024.csv,70,12,9,3
000025.csv,76,20,8,3
000026.csv,50,84,7,4
000027.csv,88,4,6,6
000028.csv,54,32,9,3
000029.csv,92,40,7,4
000030.csv,54,28,6,5
000031.csv,70,4,10,5
000032.csv,66,96,9,2
000033.csv,80,16,7,5
000034.csv,92,92,8,5
000035.csv,56,48,5,5
000036.csv,58,100,8,3
000037.csv,60,64,10,1
000038.csv,42,28,5,1
000039.csv,96,64,5,6
000040.csv,80,72,9,1
000041.csv,86,0,5,2
000042.csv,88,52,5,6
000043.csv,86,32,10,5
000044.csv,72,40,8,5
000045.csv,60,36,10,5
000046.csv,92,68,6,4
000047.csv,84,92,10,5
000048.csv,94,16,8,5
000049.csv,52,60,10,4
000050.csv,62,28,7,2
000051.csv,74,28,8,3
000052.csv,50,100,8,2
000053.csv,90,4,7,2
000054.csv,98,40,7,2
000055.csv,52,92,8,2
000056.csv,64,28,7,6
000057.csv,64,4,5,4
000058.csv,94,88,5,3
000059.csv,72,12,6,6
000060.csv,62,80,6,6
000061.csv,98,52,8,2
000062.csv,72,0,9,2
000063.csv,86,52,8,1
000064.csv,42,24,7,5
000065.csv,46,80,9,2
000066.csv,90,80,5,2
000067.csv,40,96,9,3
000068.csv,64,80,8,5
000069.csv,74,80,6,5
000070.csv,40,96,6,1
000071.csv,54,64,6,2
000072.csv,98,44,7,2
000073.csv,92,40,5,3
000074.csv,42,72,8,6
000075.csv,66,64,5,2
000076.csv,60,92,9,5
000077.csv,96,12,6,2
000078.csv,50,24,10,4
000079.csv,98,20,7,1
000080.csv,40,68,5,1
000081.csv,42,20,9,1
000082.csv,96,76,9,3
000083.csv,90,60,6,2
000084.csv,66,4,7,3
000085.csv,94,24,5,1
000086.csv,94,68,7,4
000087.csv,80,32,10,2
000088.csv,76,48,5,2
000089.csv,86,16,5,1
000090.csv,86,24,9,4
000091.csv,78,28,9,6
000092.csv,84,52,10,4
000093.csv,82,24,10,6
000094.csv,88,56,9,5
000095.csv,62,100,5,4
000096.csv,62,48,5,4
000097.csv,76,8,9,5
000098.csv,68,76,9,2
000099.csv,98,44,10,2
000100.csv,80,64,10,2
000101.csv,54,96,6,1
000102.csv,100,20,9,5
000103.csv,100,8,7,4
000104.csv,54,72,9,3
000105.csv,52,96,9,2
000106.csv,74,28,8,2
000107.csv,46,20,7,6
000108.csv,70,56,6,3
000109.csv,56,60,9,4
000110.csv,46,28,9,5
000111.csv,80,0,6,1
000112.csv,76,36,9,3
000113.csv,64,72,8,6
000114.csv,74,72,6,2
000115.csv,60,20,5,2
000116.csv,66,0,7,2
000117.csv,92,16,5,1
000118.csv,78,12,5,2
000119.csv,42,16,7,2
000120.csv,48,28,7,5
000121.csv,78,32,9,5
000122.csv,84,76,9,1
000123.csv,58,12,10,2
000124.csv,62,20,8,3
000125.csv,64,48,8,4
000126.csv,42,44,7,6
000127.csv,80,24,9,1
000128.csv,86,20,5,2
000129.csv,52,68,6,3
000130.csv,84,32,6,2
000131.csv,68,72,6,4
000132.csv,72,100,9,1
000133.csv,42,32,6,4
000134.csv,88,96,9,6
000135.csv,90,60,9,2
000136.csv,90,72,10,5
000137.csv,64,100,8,3
000138.csv,48,68,7,2
000139.csv,44,4,6,3
000140.csv,82,60,8,1
000141.csv,42,48,9,3
000142.csv,94,8,5,1
000143.csv,94,76,5,2
000144.csv,52,16,8,1
000145.csv,62,32,9,2
000146.csv,92,20,6,5
000147.csv,50,44,8,2
000148.csv,86,0,9,1
000149.csv,50,48,10,2
000150.csv,70,32,8,1
000151.csv,84,48,6,5
000152.csv,64,0,7,1
000153.csv,82,0,10,5
000154.csv,96,56,9,2
000155.csv,58,0,10,4
000156.csv,76,48,9,6
000157.csv,72,72,8,3
000158.csv,84,32,8,1
000159.csv,94,76,10,4
000160.csv,92,96,10,5
000161.csv,66,32,10,1
000162.csv,62,80,7,4
000163.csv,48,60,10,5
000164.csv,72,32,5,5
000165.csv,78,32,6,3
000166.csv,78,88,5,4
000167.csv,62,8,8,5
000168.csv,62,72,9,6
000169.csv,64,56,10,4
000170.csv,88,60,7,2
000171.csv,46,48,6,6
000172.csv,58,76,10,4
000173.csv,44,96,8,3
000174.csv,92,96,8,1
000175.csv,72,72,9,3
000176.csv,98,68,10,4
000177.csv,48,68,5,4
000178.csv,88,60,6,6
000179.csv,52,68,5,3
000180.csv,86,24,6,2
000181.csv,68,84,5,1
000182.csv,56,28,6,5
000183.csv,56,96,6,2
000184.csv,52,52,5,2
000185.csv,84,92,8,2
000186.csv,76,24,7,2
000187.csv,72,60,9,2
000188.csv,44,100,5,3
000189.csv,72,4,7,3
000190.csv,72,64,5,5
000191.csv,70,76,8,2
000192.csv,76,64,10,3
000193.csv,90,48,8,4
000194.csv,90,100,9,2
000195.csv,66,56,8,5
000196.csv,48,72,6,4
000197.csv,62,60,10,5
000198.csv,88,32,5,1
000199.csv,56,12,6,4
000200.csv,70,68,5,6
000201.csv,42,36,7,1
000202.csv,60,92,6,6
000203.csv,94,88,9,3
000204.csv,60,4,8,4
000205.csv,90,0,9,5
000206.csv,68,36,9,4
000207.csv,90,28,10,6
000208.csv,92,68,10,5
000209.csv,96,52,5,4
000210.csv,88,84,9,4
000211.csv,72,16,10,3
000212.csv,90,72,10,4
000213.csv,90,84,5,5
000214.csv,92,0,9,5
000215.csv,70,32,8,6
000216.csv,98,76,5,1
000217.csv,54,16,6,6
000218.csv,74,24,6,6
000219.csv,74,16,8,5
000220.csv,50,64,5,6
000221.csv,78,8,9,4
000222.csv,76,32,6,6
000223.csv,46,4,9,6
000224.csv,78,20,5,5
000225.csv,46,56,5,1
000226.csv,94,76,10,5
000227.csv,84,92,8,1
000228.csv,58,28,7,4
000229.csv,78,20,10,4
000230.csv,54,88,8,4
000231.csv,90,64,5,6
000232.csv,46,8,8,6
000233.csv,76,68,10,4
000234.csv,58,0,7,3
000235.csv,42,64,8,6
000236.csv,44,20,8,2
000237.csv,60,84,8,3
000238.csv,86,96,9,3
000239.csv,76,20,7,1
000240.csv,50,100,8,5
000241.csv,64,36,8,4
000242.csv,84,20,9,1
000243.csv,98,24,5,2
000244.csv,88,36,7,6
000245.csv,70,40,6,4
000246.csv,98,64,8,1
000247.csv,48,100,10,1
000248.csv,54,92,10,3
000249.csv,88,64,7,6
000250.csv,92,24,10,3
000251.csv,54,96,9,1
000252.csv,100,100,10,5
000253.csv,62,8,7,2
000254.csv,54,48,6,5
000255.csv,56,36,9,1
000256.csv,74,100,7,1
000257.csv,72,56,7,4
000258.csv,80,8,9,6
000259.csv,80,4,9,5
000260.csv,68,32,5,2
000261.csv,80,12,5,1
000262.csv,48,32,10,1
000263.csv,86,64,9,4
000264.csv,98,36,10,3
000265.csv,96,92,5,4
000266.csv,40,88,7,1
000267.csv,64,64,10,6
000268.csv,90,60,5,2
000269.csv,42,72,9,3
000270.csv,54,44,10,3
000271.csv,98,44,5,5
000272.csv,46,12,9,3
000273.csv,92,52,10,5
000274.csv,58,72,5,3
000275.csv,96,72,5,1
000276.csv,100,52,9,2
000277.csv,46,40,6,1
000278.csv,42,4,9,3
000279.csv,88,60,6,1
000280.csv,84,16,6,2
000281.csv,82,40,8,5
000282.csv,64,64,9,5
000283.csv,92,12,7,5
000284.csv,54,56,6,4
000285.csv,100,84,6,5
000286.csv,76,28,5,3
000287.csv,98,4,10,2
000288.csv,62,68,5,1
000289.csv,48,28,8,6
000290.csv,86,0,7,4
000291.csv,92,8,8,3
000292.csv,74,28,9,4
000293.csv,94,32,5,6
000294.csv,90,40,6,1
000295.csv,62,88,9,2
000296.csv,42,76,8,3
000297.csv,70,84,6,2
000298.csv,42,72,6,3
000299.csv,60,20,8,6
000300.csv,66,20,8,2
000301.csv,40,56,7,3
000302.csv,84,36,10,5
000303.csv,80,36,8,1
000304.csv,56,56,6,3
000305.csv,66,64,6,6
000306.csv,40,60,6,2
000307.csv,96,0,8,4
000308.csv,94,36,6,4
000309.csv,62,72,9,3
000310.csv,52,68,10,3
000311.csv,46,56,7,3
000312.csv,40,64,10,4
000313.csv,92,20,7,4
000314.csv,92,12,8,6
000315.csv,50,64,6,3
000316.csv,40,28,9,4
000317.csv,92,36,7,2
000318.csv,56,64,7,4
000319.csv,82,92,6,5
000320.csv,46,56,8,3
000321.csv,68,36,6,5
000322.csv,94,80,7,6
000323.csv,88,72,7,2
000324.csv,46,48,10,2
000325.csv,86,44,6,5
000326.csv,52,32,5,2
000327.csv,92,92,5,4
000328.csv,40,28,6,1
000329.csv,44,32,9,6
000330.csv,66,4,9,1
000331.csv,42,20,9,2
000332.csv,44,84,5,6
000333.csv,52,32,9,4
000334.csv,86,40,7,5
000335.csv,58,88,6,4
000336.csv,72,64,6,1
000337.csv,68,36,9,6
000338.csv,68,20,7,3
000339.csv,70,64,8,1
000340.csv,62,52,5,6
000341.csv,74,84,5,5
000342.csv,66,24,8,3
000343.csv,100,0,7,6
000344.csv,96,32,10,4
000345.csv,98,16,7,5
000346.csv,52,32,7,6
000347.csv,64,32,9,3
000348.csv,64,12,9,5
000349.csv,48,4,6,5
000350.csv,42,92,10,5
000351.csv,86,64,5,2
000352.csv,60,20,7,4
000353.csv,52,68,10,5
000354.csv,86,80,9,1
000355.csv,80,16,7,3
000356.csv,88,56,8,6
000357.csv,74,76,9,3
000358.csv,84,20,7,1
000359.csv,46,12,7,4
000360.csv,100,44,5,6
000361.csv,86,88,5,5
000362.csv,80,20,10,1
000363.csv,42,56,8,4
000364.csv,78,44,10,4
000365.csv,82,60,10,1
000366.csv,68,76,5,1
000367.csv,86,64,10,2
000368.csv,62,16,9,2
000369.csv,72,52,6,3
000370.csv,76,72,8,4
000371.csv,58,32,8,2
000372.csv,64,20,7,5
000373.csv,92,16,7,6
000374.csv,54,60,9,3
000375.csv,46,44,9,6
000376.csv,80,100,10,4
000377.csv,96,24,6,6
000378.csv,42,76,10,2
000379.csv,84,68,8,1
000380.csv,94,68,5,5
000381.csv,82,32,5,5
000382.csv,86,56,8,2
000383.csv,94,36,9,6
000384.csv,68,64,9,3
000385.csv,40,8,8,5
000386.csv,76,76,9,2
000387.csv,88,12,6,6
000388.csv,56,20,7,6
000389.csv,76,20,5,5
000390.csv,100,28,6,1
000391.csv,62,36,7,3
000392.csv,94,68,8,2
000393.csv,50,36,6,6
000394.csv,58,72,9,2
000395.csv,80,32,5,2
000396.csv,46,12,6,6
000397.csv,96,76,10,5
000398.csv,60,8,7,2
000399.csv,90,60,5,1
000400.csv,76,76,6,2
000401.csv,44,28,8,3
000402.csv,76,24,10,1
000403.csv,88,88,7,3
000404.csv,54,96,9,3
000405.csv,60,48,6,5
000406.csv,82,40,9,5
000407.csv,70,48,8,1
000408.csv,46,80,7,3
000409.csv,40,48,6,3
000410.csv,60,100,8,3
000411.csv,58,20,7,1
000412.csv,54,60,5,2
000413.csv,100,12,5,3
