filename,ps,ds,dms,cycle
016489.csv,95,96,7,1
016490.csv,95,96,7,3
016491.csv,95,96,7,5
016492.csv,45,80,8,1
016493.csv,45,80,8,3
016494.csv,45,80,8,5
016495.csv,45,70,10,1
016496.csv,45,70,10,3
016497.csv,45,70,10,5
016498.csv,40,24,8,1
016499.csv,40,24,8,3
016500.csv,40,24,8,5
016501.csv,40,65,11,1
016502.csv,40,65,11,3
016503.csv,40,65,11,5
016504.csv,40,76,7,1
016505.csv,40,76,7,3
016506.csv,40,76,7,5
016507.csv,60,4,8,1
016508.csv,60,4,8,3
016509.csv,60,4,8,5
016510.csv,40,85,11,1
016511.csv,40,85,11,3
016512.csv,40,85,11,5
016513.csv,50,76,7,1
016514.csv,50,76,7,3
016515.csv,50,76,7,5
016516.csv,60,15,7,1
016517.csv,60,15,7,3
016518.csv,60,15,7,5
016519.csv,60,65,10,1
016520.csv,60,65,10,3
016521.csv,60,65,10,5
016522.csv,65,20,5,1
016523.csv,65,20,5,3
016524.csv,65,20,5,5
016525.csv,55,72,7,1
016526.csv,55,72,7,3
016527.csv,55,72,7,5
016528.csv,45,104,6,1
016529.csv,45,104,6,3
016530.csv,45,104,6,5
016531.csv,105,45,8,1
016532.csv,105,45,8,3
016533.csv,105,45,8,5
016534.csv,50,50,7,1
016535.csv,50,50,7,3
016536.csv,50,50,7,5
016537.csv,50,12,8,1
016538.csv,50,12,8,3
016539.csv,50,12,8,5
016540.csv,40,5,6,1
016541.csv,40,5,6,3
016542.csv,40,5,6,5
016543.csv,90,100,10,1
016544.csv,90,100,10,3
016545.csv,90,100,10,5
016546.csv,60,95,6,1
016547.csv,60,95,6,3
016548.csv,60,95,6,5
016549.csv,70,48,6,1
016550.csv,70,48,6,3
016551.csv,70,48,6,5
016552.csv,65,70,7,1
016553.csv,65,70,7,3
016554.csv,65,70,7,5
016555.csv,50,92,9,1
016556.csv,50,92,9,3
016557.csv,50,92,9,5
016558.csv,70,50,7,1
016559.csv,70,50,7,3
016560.csv,70,50,7,5
016561.csv,110,72,8,1
016562.csv,110,72,8,3
016563.csv,110,72,8,5
016564.csv,95,15,7,1
016565.csv,95,15,7,3
016566.csv,95,15,7,5
016567.csv,40,50,9,1
016568.csv,40,50,9,3
016569.csv,40,50,9,5
016570.csv,45,28,8,1
016571.csv,45,28,8,3
016572.csv,45,28,8,5
016573.csv,110,8,8,1
016574.csv,110,8,8,3
016575.csv,110,8,8,5
016576.csv,100,25,11,1
016577.csv,100,25,11,3
016578.csv,100,25,11,5
016579.csv,85,40,6,1
016580.csv,85,40,6,3
016581.csv,85,40,6,5
016582.csv,85,90,9,1
016583.csv,85,90,9,3
016584.csv,85,90,9,5
016585.csv,80,95,9,1
016586.csv,80,95,9,3
016587.csv,80,95,9,5
016588.csv,95,70,5,1
016589.csv,95,70,5,3
016590.csv,95,70,5,5
016591.csv,110,65,9,1
016592.csv,110,65,9,3
016593.csv,110,65,9,5
016594.csv,95,15,11,1
016595.csv,95,15,11,3
016596.csv,95,15,11,5
016597.csv,70,0,7,1
016598.csv,70,0,7,3
016599.csv,70,0,7,5
016600.csv,75,105,7,1
016601.csv,75,105,7,3
016602.csv,75,105,7,5
016603.csv,50,25,7,1
016604.csv,50,25,7,3
016605.csv,50,25,7,5
016606.csv,45,4,7,1
016607.csv,45,4,7,3
016608.csv,45,4,7,5
016609.csv,75,105,8,1
016610.csv,75,105,8,3
016611.csv,75,105,8,5
016612.csv,95,85,9,1
016613.csv,95,85,9,3
016614.csv,95,85,9,5
016615.csv,65,104,9,1
016616.csv,65,104,9,3
016617.csv,65,104,9,5
016618.csv,110,50,6,1
016619.csv,110,50,6,3
016620.csv,110,50,6,5
016621.csv,55,32,8,1
016622.csv,55,32,8,3
016623.csv,55,32,8,5
016624.csv,40,64,7,1
016625.csv,40,64,7,3
016626.csv,40,64,7,5
016627.csv,40,16,6,1
016628.csv,40,16,6,3
016629.csv,40,16,6,5
016630.csv,55,10,11,1
016631.csv,55,10,11,3
016632.csv,55,10,11,5
016633.csv,40,24,6,1
016634.csv,40,24,6,3
016635.csv,40,24,6,5
016636.csv,65,60,7,1
016637.csv,65,60,7,3
016638.csv,65,60,7,5
016639.csv,105,70,10,1
016640.csv,105,70,10,3
016641.csv,105,70,10,5
016642.csv,75,60,5,1
016643.csv,75,60,5,3
016644.csv,75,60,5,5
016645.csv,55,95,6,1
016646.csv,55,95,6,3
016647.csv,55,95,6,5
016648.csv,100,85,11,1
016649.csv,100,85,11,3
016650.csv,100,85,11,5
016651.csv,45,32,5,1
016652.csv,45,32,5,3
016653.csv,45,32,5,5
016654.csv,80,0,6,1
016655.csv,80,0,6,3
016656.csv,80,0,6,5
016657.csv,90,12,8,1
016658.csv,90,12,8,3
016659.csv,90,12,8,5
016660.csv,110,95,5,1
016661.csv,110,95,5,3
016662.csv,110,95,5,5
016663.csv,110,104,8,1
016664.csv,110,104,8,3
016665.csv,110,104,8,5
016666.csv,70,28,7,1
016667.csv,70,28,7,3
016668.csv,70,28,7,5
016669.csv,110,88,11,1
016670.csv,110,88,11,3
016671.csv,110,88,11,5
016672.csv,80,32,6,1
016673.csv,80,32,6,3
016674.csv,80,32,6,5
016675.csv,65,84,6,1
016676.csv,65,84,6,3
016677.csv,65,84,6,5
016678.csv,45,52,11,1
016679.csv,45,52,11,3
016680.csv,45,52,11,5
016681.csv,95,95,10,1
016682.csv,95,95,10,3
016683.csv,95,95,10,5
016684.csv,70,5,10,1
016685.csv,70,5,10,3
016686.csv,70,5,10,5
016687.csv,60,96,5,1
016688.csv,60,96,5,3
016689.csv,60,96,5,5
016690.csv,75,4,6,1
016691.csv,75,4,6,3
016692.csv,75,4,6,5
016693.csv,105,15,5,1
016694.csv,105,15,5,3
016695.csv,105,15,5,5
016696.csv,70,92,6,1
016697.csv,70,92,6,3
016698.csv,70,92,6,5
016699.csv,50,100,8,1
016700.csv,50,100,8,3
016701.csv,50,100,8,5
016702.csv,80,25,10,1
016703.csv,80,25,10,3
016704.csv,80,25,10,5
016705.csv,45,28,6,1
016706.csv,45,28,6,3
016707.csv,45,28,6,5
016708.csv,70,76,10,1
016709.csv,70,76,10,3
016710.csv,70,76,10,5
016711.csv,65,35,9,1
016712.csv,65,35,9,3
016713.csv,65,35,9,5
016714.csv,70,108,8,1
016715.csv,70,108,8,3
016716.csv,70,108,8,5
016717.csv,80,55,8,1
016718.csv,80,55,8,3
016719.csv,80,55,8,5
016720.csv,45,35,8,1
016721.csv,45,35,8,3
016722.csv,45,35,8,5
016723.csv,75,24,10,1
016724.csv,75,24,10,3
016725.csv,75,24,10,5
016726.csv,85,64,7,1
016727.csv,85,64,7,3
016728.csv,85,64,7,5
016729.csv,40,68,7,1
016730.csv,40,68,7,3
016731.csv,40,68,7,5
016732.csv,65,8,11,1
016733.csv,65,8,11,3
016734.csv,65,8,11,5
016735.csv,40,70,9,1
016736.csv,40,70,9,3
016737.csv,40,70,9,5
016738.csv,70,60,5,1
016739.csv,70,60,5,3
016740.csv,70,60,5,5
016741.csv,110,85,8,1
016742.csv,110,85,8,3
016743.csv,110,85,8,5
016744.csv,90,35,8,1
016745.csv,90,35,8,3
016746.csv,90,35,8,5
016747.csv,90,10,5,1
016748.csv,90,10,5,3
016749.csv,90,10,5,5
016750.csv,95,104,5,1
016751.csv,95,104,5,3
016752.csv,95,104,5,5
016753.csv,80,24,6,1
016754.csv,80,24,6,3
016755.csv,80,24,6,5
016756.csv,45,90,10,1
016757.csv,45,90,10,3
016758.csv,45,90,10,5
016759.csv,60,55,5,1
016760.csv,60,55,5,3
016761.csv,60,55,5,5
016762.csv,105,25,11,1
016763.csv,105,25,11,3
016764.csv,105,25,11,5
016765.csv,65,64,11,1
016766.csv,65,64,11,3
016767.csv,65,64,11,5
016768.csv,75,76,10,1
016769.csv,75,76,10,3
016770.csv,75,76,10,5
016771.csv,100,80,10,1
016772.csv,100,80,10,3
016773.csv,100,80,10,5
016774.csv,85,70,7,1
016775.csv,85,70,7,3
016776.csv,85,70,7,5
016777.csv,110,10,10,1
016778.csv,110,10,10,3
016779.csv,110,10,10,5
016780.csv,55,0,10,1
016781.csv,55,0,10,3
016782.csv,55,0,10,5
016783.csv,85,50,9,1
016784.csv,85,50,9,3
016785.csv,85,50,9,5
016786.csv,110,52,11,1
016787.csv,110,52,11,3
016788.csv,110,52,11,5
016789.csv,75,68,10,1
016790.csv,75,68,10,3
016791.csv,75,68,10,5
016792.csv,60,4,6,1
016793.csv,60,4,6,3
016794.csv,60,4,6,5
016795.csv,105,92,7,1
016796.csv,105,92,7,3
016797.csv,105,92,7,5
016798.csv,70,68,7,1
016799.csv,70,68,7,3
016800.csv,70,68,7,5
016801.csv,60,16,11,1
016802.csv,60,16,11,3
016803.csv,60,16,11,5
016804.csv,100,70,5,1
016805.csv,100,70,5,3
016806.csv,100,70,5,5
016807.csv,60,50,6,1
016808.csv,60,50,6,3
016809.csv,60,50,6,5
016810.csv,100,105,5,1
016811.csv,100,105,5,3
016812.csv,100,105,5,5
016813.csv,40,25,6,1
016814.csv,40,25,6,3
016815.csv,40,25,6,5
016816.csv,45,28,10,1
016817.csv,45,28,10,3
016818.csv,45,28,10,5
016819.csv,75,48,10,1
016820.csv,75,48,10,3
016821.csv,75,48,10,5
016822.csv,60,35,9,1
016823.csv,60,35,9,3
016824.csv,60,35,9,5
016825.csv,40,60,6,1
016826.csv,40,60,6,3
016827.csv,40,60,6,5
016828.csv,50,45,6,1
016829.csv,50,45,6,3
016830.csv,50,45,6,5
016831.csv,80,108,11,1
016832.csv,80,108,11,3
016833.csv,80,108,11,5
016834.csv,55,8,11,1
016835.csv,55,8,11,3
016836.csv,55,8,11,5
016837.csv,95,80,6,1
016838.csv,95,80,6,3
016839.csv,95,80,6,5
016840.csv,40,68,6,1
016841.csv,40,68,6,3
016842.csv,40,68,6,5
016843.csv,65,32,6,1
016844.csv,65,32,6,3
016845.csv,65,32,6,5
016846.csv,85,96,6,1
016847.csv,85,96,6,3
016848.csv,85,96,6,5
016849.csv,105,5,9,1
016850.csv,105,5,9,3
016851.csv,105,5,9,5
016852.csv,40,32,11,1
016853.csv,40,32,11,3
016854.csv,40,32,11,5
016855.csv,65,60,10,1
016856.csv,65,60,10,3
016857.csv,65,60,10,5
016858.csv,55,92,5,1
016859.csv,55,92,5,3
016860.csv,55,92,5,5
016861.csv,45,20,9,1
016862.csv,45,20,9,3
016863.csv,45,20,9,5
016864.csv,110,95,6,1
016865.csv,110,95,6,3
016866.csv,110,95,6,5
016867.csv,105,28,5,1
016868.csv,105,28,5,3
016869.csv,105,28,5,5
016870.csv,65,105,8,1
016871.csv,65,105,8,3
016872.csv,65,105,8,5
016873.csv,95,88,11,1
016874.csv,95,88,11,3
016875.csv,95,88,11,5
016876.csv,75,65,10,1
016877.csv,75,65,10,3
016878.csv,75,65,10,5
016879.csv,55,60,6,1
016880.csv,55,60,6,3
016881.csv,55,60,6,5
016882.csv,80,85,10,1
016883.csv,80,85,10,3
016884.csv,80,85,10,5
016885.csv,90,10,8,1
016886.csv,90,10,8,3
016887.csv,90,10,8,5
016888.csv,95,16,6,1
016889.csv,95,16,6,3
016890.csv,95,16,6,5
016891.csv,45,4,6,1
016892.csv,45,4,6,3
016893.csv,45,4,6,5
016894.csv,40,45,11,1
016895.csv,40,45,11,3
016896.csv,40,45,11,5
016897.csv,70,16,10,1
016898.csv,70,16,10,3
016899.csv,70,16,10,5
016900.csv,60,92,8,1
016901.csv,60,92,8,3
016902.csv,60,92,8,5
016903.csv,100,92,11,1
016904.csv,100,92,11,3
016905.csv,100,92,11,5
016906.csv,40,105,10,1
016907.csv,40,105,10,3
016908.csv,40,105,10,5
016909.csv,110,76,5,1
016910.csv,110,76,5,3
016911.csv,110,76,5,5
016912.csv,55,90,9,1
016913.csv,55,90,9,3
016914.csv,55,90,9,5
016915.csv,110,25,11,1
016916.csv,110,25,11,3
016917.csv,110,25,11,5
016918.csv,50,0,5,1
016919.csv,50,0,5,3
016920.csv,50,0,5,5
016921.csv,90,44,7,1
016922.csv,90,44,7,3
016923.csv,90,44,7,5
016924.csv,55,48,7,1
016925.csv,55,48,7,3
016926.csv,55,48,7,5
016927.csv,40,0,10,1
016928.csv,40,0,10,3
016929.csv,40,0,10,5
016930.csv,70,12,9,1
016931.csv,70,12,9,3
016932.csv,70,12,9,5
016933.csv,60,92,7,1
016934.csv,60,92,7,3
016935.csv,60,92,7,5
016936.csv,95,52,6,1
016937.csv,95,52,6,3
016938.csv,95,52,6,5
016939.csv,95,65,8,1
016940.csv,95,65,8,3
016941.csv,95,65,8,5
016942.csv,65,85,11,1
016943.csv,65,85,11,3
016944.csv,65,85,11,5
016945.csv,100,24,9,1
016946.csv,100,24,9,3
016947.csv,100,24,9,5
016948.csv,90,105,11,1
016949.csv,90,105,11,3
016950.csv,90,105,11,5
016951.csv,90,84,5,1
016952.csv,90,84,5,3
016953.csv,90,84,5,5
016954.csv,50,30,8,1
016955.csv,50,30,8,3
016956.csv,50,30,8,5
016957.csv,45,20,10,1
016958.csv,45,20,10,3
016959.csv,45,20,10,5
016960.csv,55,72,6,1
016961.csv,55,72,6,3
016962.csv,55,72,6,5
016963.csv,85,68,10,1
016964.csv,85,68,10,3
016965.csv,85,68,10,5
016966.csv,75,80,7,1
016967.csv,75,80,7,3
016968.csv,75,80,7,5
016969.csv,85,32,8,1
016970.csv,85,32,8,3
016971.csv,85,32,8,5
016972.csv,45,36,6,1
016973.csv,45,36,6,3
016974.csv,45,36,6,5
016975.csv,85,90,6,1
016976.csv,85,90,6,3
016977.csv,85,90,6,5
016978.csv,40,75,6,1
016979.csv,40,75,6,3
